Code,Name,sec_name,Wind_ind,GICS_ind,HS_ind,Code_jieli
8023.HK,邝文记,邝文记,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E08023
8025.HK,亚洲资产,亚洲资产,金融--多元金融--资本市场--资产管理与托管银行,金融_综合金融_资本市场_资产管理与托管银行,非银金融(HS),E08025
8026.HK,朗华国际集团,朗华国际集团,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_服装、服饰与奢侈品,资讯科技业(HS),E08026
8027.HK,吉辉控股,吉辉控股,工业--商业和专业服务--商业服务与用品--综合支持服务,工业_商业和专业服务_商业服务与商业用品_综合支持服务,支援服务(HS),E08027
8028.HK,天时软件,天时软件,材料--材料Ⅱ--金属、非金属与采矿--黄金,原材料_原材料Ⅱ_金属与采矿_黄金,原材料业(HS),E08028
8029.HK,太阳国际,太阳国际,日常消费--食品、饮料与烟草--食品--农产品,日常消费品_食品、饮料与烟草_食品_农产品,农业产品(HS),E08029
8030.HK,汇联金融服务,汇联金融服务,金融--多元金融--消费信贷Ⅲ--消费信贷,金融_综合金融_消费信贷Ⅲ_消费信贷,非银金融(HS),E08030
8031.HK,易通讯集团,易通讯集团,工业--商业和专业服务--商业服务与用品--办公服务与用品,工业_商业和专业服务_商业服务与商业用品_办公服务与用品,支援服务(HS),E08031
8032.HK,非凡中国,非凡中国,可选消费--媒体Ⅱ--媒体Ⅲ--电影与娱乐,通信服务_媒体与娱乐_娱乐_电影与娱乐,休闲服务(HS),E08032
8033.HK,爱达利网络,爱达利网络,信息技术--软件与服务--互联网软件与服务Ⅲ--互联网软件与服务,信息技术_软件与服务_信息技术服务_互联网服务与基础设施,资讯科技业(HS),E08033
8035.HK,骏高控股,骏高控股,工业--运输--航空货运与物流Ⅲ--航空货运与物流,工业_运输_航空货运与物流Ⅲ_航空货运与物流,交通运输(HS),E08035
